Movie_Name,Storyline
Joe Baby,"A money collector for a private investigator is hired to track down 10 million dollars stolen in a dodgy real estate deal, opening a complex can of worms."
Timestalker,The hapless heroine Agnes is reincarnated every time she makes the same mistake: falling in love with the wrong man.
Martin,"A journey of a man discovering himself, finding love and fighting for his motherland. Can he hold the fort on all three gates?"
Golam,A mysterious death during work hours in an office puzzles all but only Investigator ASP Sandeep Krishna observes it as a murder.
Shayar,Satta and Seero's enduring love faces obstacles from destiny. Their journey depicts the resilience of true passion as they strive to overcome adversity and be together
Crescent City,"A small town in the south is ravaged by a serial killer, with everyone being a suspect including the police."
Swap,A young couple is lured into the clutches of a bloodthirsty 500-year-old vampire; the exotic stranger tries to persuade them to swap partners and join his kind.
Khel Khel Mein,Revolves around a group of friends who gather for a dinner and end up revealing secrets about each other.
The Diary,"Where Olga discovers the unfinished diary of a known killer and becomes fascinated by its dark secrets. As she delves into its contents, she uncovers a mysterious connection between them, putting her life and others in grave danger."
Reading Lolita in Tehran,The autobiographical story of a fearless teacher who secretly gathers seven of her female students to read forbidden Western classics in revolutionary Iran.
A Part of You,"Agnes, a teen envious of her popular older sister Julia, faces upheaval when tragedy strikes. Forced to reinvent herself, she's on the cusp of attaining her dreams but must navigate the consequences of her choices."
Planet B,"France, 2039. One night, a group of activists pursued by the state vanish without a trace. Julia Bombarth is one of them. When she awakens, she finds herself trapped in an entirely unfamiliar world: PLANET B."
Little Death,A middle-aged filmmaker on the verge of a breakthrough. Two kids in search of a lost backpack. A small dog a long way from home.
Fêlés,The Rainbow is a genuine associative place in Marmande that welcomes ordinary people but abused by life. Its members support each other in their struggle against daily difficulties.
Manamey,"A charismatic playboy's life is upended when a young boy enters his world, initially causing chaos but gradually becoming an integral part, exploring themes of love, family, and growth."
Shark Girl,"When a beautiful young influencer survives a mysterious shark attack, she becomes a monstrous apex predator, hunting and feeding in sunny Venice Beach, California."
Merry Christmas,Two strangers meet on a fateful Christmas Eve. A night of delirious romance turns into a nightmare. Revealing anything more would be a crime.
Out of Control,A marriage is threatened when the husband's first love comes back to town.
Robin and the Hoods,"For the tenacious 11-year-old Robin and her loyal band of friends 'The Hoods', the patch of overgrown scrubland at the end of their cul-de-sac is a magical kingdom."
Arthur's Whisky,Three elderly ladies drink an elixir that makes them young again and soon discover that youth isn't all it's cracked up to be.
Takas,"Best friends, Angel and Lexi, run away after committing a crime. Their seemingly quiet life becomes messy when a new man enters the picture."
The Hunted,"After their boat engine fails in the Mediterranean Sea, a group of refugees are rescued by rich Europeans who offer them shelter on an idyllic island. But the miracle becomes a nightmare when the saviours turn into ruthless manhunters."
Beneath the Light,"Jacob takes a job at an isolated lighthouse, hoping to reconnect with a childhood friend. As strange events unfold, he grapples with reality, anxiety, and fractured memories while finding romance and an unexpected bond with the owner."
Boot Camp,"Follows unathletic Whitney Carmichael, who signs up for an intense summer boot camp to reinvent herself and falls for her personal trainer. She then finds the strength to embrace her true self and ignore the others' expectations."
Angels Fallen: Warriors of Peace,"When an Iraq War veteran receives a calling from a higher power, he embarks on a mission to stop a fallen angel from raising an army of the dead to take over the world."
Bloody Axe Wound,"Abbie Bladecut's family business, a video store, has thrived by disposing of teenagers to mimic horror movies. As the first female slasher, she battles gender bias while realizing the harsh realities behind the mass murders."
Prom Dates,"Jess and Hannah, at 13 years old made a pact to have the perfect prom, only 24 hours before the big event, everything is ruined when they break up with their dates. Now they have one night to find new dates and make the fantasy comes true."
In the Summers,"On a journey that spans the formative years of their lives, two sisters navigate their loving but volatile father during their yearly summer visits to his home in Las Cruces, New Mexico."
Sunshine,"It follows a young gymnast who discovers she is pregnant on the week of the national team tryouts. On her way to a seller of illegal abortion drugs, she meets a mysterious girl who eerily talks and thinks like her."
